Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Hey Jack Kerouac,"10,000 Maniacs",1987,3.44,4,0.616,0.511,6,-15.894,major(1),0.0279,0.0384,0.0,0.15,0.604,132.015,40,Alternative Rock
Like the Weather,"10,000 Maniacs",1987,3.94,4,0.77,0.459,1,-17.453,major(1),0.0416,0.112,0.00343,0.145,0.963,133.351,43,Alternative Rock
What's the Matter Here?,"10,000 Maniacs",1987,4.85,4,0.593,0.816,9,-7.293,major(1),0.041,0.00449,3.17e-05,0.0896,0.519,99.978,12,Alternative Rock
Trouble Me,"10,000 Maniacs",1989,3.23,4,0.861,0.385,2,-10.057,major(1),0.0341,0.154,0.0,0.123,0.494,117.913,47,Alternative Rock
Candy Everybody Wants,"10,000 Maniacs",1992,3.1,4,0.622,0.876,10,-6.31,major(1),0.0305,0.0193,0.00684,0.0987,0.867,104.97,43,Alternative Rock
More Than This,"10,000 Maniacs",1992,4.09,4,0.623,0.773,6,-8.8,major(1),0.0271,0.0155,0.00573,0.0917,0.807,124.644,46,Alternative Rock
These Are Days,"10,000 Maniacs",1992,3.66,4,0.611,0.833,3,-7.554,major(1),0.0351,0.0218,0.000204,0.0923,0.793,108.498,52,Alternative Rock
Verdi Cries,"10,000 Maniacs",1992,4.34,4,0.367,0.0256,3,-25.309,major(1),0.0421,0.917,7.39e-05,0.0843,0.178,106.872,34,Alternative Rock
Because the Night - Live Unplugged,"10,000 Maniacs",1993,3.72,4,0.408,0.79,11,-8.138,minor(0),0.103,0.26,0.00027,0.765,0.347,122.624,56,Alternative Rock
Be Like That,3 Doors Down,2000,4.43,4,0.487,0.702,7,-6.043,major(1),0.0238,0.00528,4.97e-06,0.129,0.306,95.982,61,Alternative Rock
Duck And Run,3 Doors Down,2000,3.84,4,0.524,0.919,4,-5.505,minor(0),0.0436,0.0149,7.05e-05,0.131,0.848,87.931,48,Alternative Rock
Kryptonite,3 Doors Down,2000,3.9,4,0.545,0.865,11,-5.708,minor(0),0.0286,0.00664,1.1e-05,0.168,0.543,99.005,80,Alternative Rock
Loser,3 Doors Down,2000,4.41,4,0.493,0.88,6,-6.424,minor(0),0.0693,0.0108,2.66e-05,0.226,0.389,147.913,61,Alternative Rock
One Light,3 Doors Down,2000,2.94,4,0.372,0.976,11,-3.67,major(1),0.0625,0.00117,0.00326,0.0597,0.433,170.087,38,Alternative Rock
Here Without You,3 Doors Down,2003,3.98,4,0.557,0.533,10,-6.817,minor(0),0.0252,0.0492,0.0,0.205,0.233,143.994,76,Alternative Rock
When I'm Gone,3 Doors Down,2005,4.34,4,0.53,0.768,7,-5.611,major(1),0.0284,0.00385,0.0,0.103,0.374,148.095,72,Alternative Rock
It's Not My Time,3 Doors Down,2008,4.03,4,0.532,0.935,0,-4.798,major(1),0.0619,0.00133,8.37e-06,0.106,0.309,128.025,63,Alternative Rock
Let Me Go,3 Doors Down,2008,4.05,4,0.48,0.863,1,-4.914,minor(0),0.0385,0.0181,0.0,0.111,0.491,91.972,55,Alternative Rock
Man in the Box,Alice In Chains,1990,4.75,4,0.355,0.791,8,-7.565,major(1),0.0453,0.00045,0.0,0.0969,0.758,106.392,77,Alternative Rock
Angry Chair (2022 Remaster),Alice In Chains,1992,4.8,4,0.329,0.943,8,-5.742,major(1),0.0913,0.0406,0.0,0.0548,0.157,107.422,53,Alternative Rock
Down In A Hole (2022 Remaster),Alice In Chains,1992,5.64,4,0.356,0.818,6,-5.343,major(1),0.0335,0.0122,0.000118,0.123,0.389,97.528,66,Alternative Rock
Rooster (2022 Remaster),Alice In Chains,1992,6.24,3,0.263,0.562,3,-7.858,major(1),0.0273,0.0289,0.00118,0.12,0.213,146.08,72,Alternative Rock
Them Bones (2022 Remaster),Alice In Chains,1992,2.49,1,0.16,0.954,9,-5.179,major(1),0.0685,0.023,4.01e-06,0.372,0.336,165.223,70,Alternative Rock
Would? (2022 Remaster),Alice In Chains,1992,3.45,4,0.297,0.842,6,-7.457,major(1),0.0488,0.000286,9.1e-06,0.0848,0.586,100.127,75,Alternative Rock
I Stay Away,Alice In Chains,1994,4.24,4,0.174,0.781,6,-7.066,major(1),0.0406,0.0452,0.00346,0.0822,0.276,81.37,62,Alternative Rock
No Excuses,Alice In Chains,1994,4.26,4,0.527,0.838,3,-6.013,major(1),0.0323,0.0206,0.00062,0.07,0.721,117.454,64,Alternative Rock
Nutshell,Alice In Chains,1994,4.32,3,0.384,0.561,3,-10.059,minor(0),0.0296,0.373,0.253,0.0775,0.159,136.136,72,Alternative Rock
Heaven Beside You,Alice In Chains,1996,5.46,4,0.551,0.724,10,-7.09,minor(0),0.032,0.00451,0.000167,0.116,0.559,111.243,61,Alternative Rock
Brass Monkey,Beastie Boys,1986,2.62,4,0.914,0.586,6,-8.435,minor(0),0.33,0.00203,1.58e-06,0.0992,0.655,116.371,66,Alternative Rock
Fight For Your Right,Beastie Boys,1986,3.48,5,0.503,0.858,8,-6.296,major(1),0.0657,0.00757,0.00234,0.0803,0.419,133.615,69,Alternative Rock
No Sleep Till Brooklyn,Beastie Boys,1986,4.12,4,0.712,0.691,8,-8.157,major(1),0.128,0.122,0.0,0.0538,0.742,97.022,70,Alternative Rock
Paul Revere,Beastie Boys,1986,3.68,4,0.883,0.553,6,-13.232,minor(0),0.944,0.0161,0.0,0.228,0.578,91.753,57,Alternative Rock
Hey Ladies,Beastie Boys,1989,3.8,4,0.949,0.728,1,-10.653,major(1),0.211,0.286,0.0,0.0465,0.795,101.718,51,Alternative Rock
Shake Your Rump,Beastie Boys,1989,3.3,4,0.888,0.699,1,-10.425,major(1),0.164,0.0159,0.000306,0.111,0.697,103.066,56,Alternative Rock
Sabotage,Beastie Boys,1994,2.97,4,0.324,0.938,6,-7.332,minor(0),0.102,0.032,0.0321,0.0961,0.543,168.131,74,Alternative Rock
Sure Shot,Beastie Boys,1994,3.33,4,0.692,0.799,1,-7.924,major(1),0.164,0.388,0.0,0.301,0.549,97.978,58,Alternative Rock
Intergalactic,Beastie Boys,1998,3.5,4,0.731,0.881,2,-6.504,major(1),0.281,0.0105,6.31e-05,0.0628,0.361,105.971,52,Alternative Rock
Loser,Beck,1994,3.92,4,0.654,0.611,2,-10.45,major(1),0.119,0.0337,0.000178,0.405,0.786,85.387,70,Alternative Rock
Devils Haircut,Beck,1996,3.26,4,0.684,0.771,7,-4.734,major(1),0.0283,0.133,0.00112,0.169,0.797,123.22,53,Alternative Rock
Jack-Ass,Beck,1996,4.2,4,0.714,0.555,2,-6.664,major(1),0.0287,0.163,0.0,0.0942,0.831,106.516,35,Alternative Rock
The New Pollution,Beck,1996,3.67,4,0.671,0.769,1,-6.529,major(1),0.0268,0.0287,0.00988,0.32,0.89,131.788,43,Alternative Rock
Where It's At,Beck,1996,5.52,4,0.68,0.671,2,-7.142,major(1),0.0536,0.169,0.0286,0.076,0.532,96.941,43,Alternative Rock
Hell Yes,Beck,1999,3.3,4,0.794,0.72,8,-7.4,major(1),0.35,0.0818,0.0143,0.0846,0.781,193.958,35,Alternative Rock
Sexx Laws,Beck,1999,3.65,4,0.646,0.914,4,-4.071,major(1),0.0448,0.015,1.32e-05,0.102,0.849,134.035,45,Alternative Rock
E-Pro,Beck,2005,3.37,4,0.624,0.959,11,-6.253,minor(0),0.0769,0.00133,0.171,0.101,0.69,95.794,57,Alternative Rock
Gamma Ray,Beck,2005,2.95,4,0.603,0.909,11,-4.213,minor(0),0.0385,0.109,0.249,0.329,0.7,168.116,62,Alternative Rock
No Rain,Blind Melon,1992,3.62,4,0.389,0.476,9,-9.342,major(1),0.0316,0.619,5.09e-05,0.255,0.566,148.117,73,Alternative Rock
Change,Blind Melon,1995,3.7,4,0.433,0.46,2,-10.441,major(1),0.0343,0.606,4.36e-05,0.175,0.536,77.525,60,Alternative Rock
Adam's Song,blink-182,1999,4.16,4,0.52,0.775,0,-5.803,major(1),0.0348,0.034,0.0,0.364,0.383,136.02,73,Alternative Rock
All The Small Things,blink-182,1999,2.78,4,0.434,0.897,0,-4.918,major(1),0.0488,0.0103,0.0,0.612,0.685,148.708,83,Alternative Rock
What's My Age Again?,blink-182,1999,2.47,4,0.391,0.951,6,-7.419,major(1),0.0688,0.012,0.000446,0.0878,0.468,157.663,80,Alternative Rock
Man Overboard,blink-182,2000,2.78,4,0.218,0.921,7,-4.414,major(1),0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,60,Alternative Rock
Don't Leave Me,blink-182,2001,2.39,4,0.338,0.94,9,-7.094,major(1),0.0906,0.00862,4.5e-06,0.304,0.245,145.538,55,Alternative Rock
Stay Together For The Kids,blink-182,2001,3.99,4,0.52,0.78,2,-4.944,major(1),0.0356,0.00165,2.16e-05,0.156,0.166,145.12,65,Alternative Rock
The Rock Show,blink-182,2001,2.86,4,0.409,0.959,9,-4.563,major(1),0.0869,0.000324,0.0,0.0766,0.83,193.144,69,Alternative Rock
Feeling This,blink-182,2003,2.88,4,0.411,0.962,4,-5.952,major(1),0.0917,0.103,0.0,0.529,0.622,173.143,70,Alternative Rock
First Date,blink-182,2003,2.86,4,0.579,0.928,0,-4.344,major(1),0.0411,0.000715,0.0,0.18,0.882,95.594,74,Alternative Rock
I Miss You,blink-182,2004,3.79,4,0.655,0.781,11,-6.547,major(1),0.034,0.00103,5.33e-06,0.0867,0.584,110.024,76,Alternative Rock
For Tomorrow - 2012 Remaster,Blur,1993,4.35,4,0.631,0.84,2,-6.025,major(1),0.0285,0.0143,0.0,0.0712,0.653,95.849,43,Alternative Rock
End of a Century - 2012 Remaster,Blur,1994,2.76,4,0.446,0.686,7,-7.348,major(1),0.0303,0.211,0.0,0.205,0.493,80.572,46,Alternative Rock
Girls & Boys,Blur,1994,4.32,4,0.693,0.875,7,-8.354,minor(0),0.0315,0.00986,0.0,0.0601,0.899,120.048,68,Alternative Rock
Parklife,Blur,1994,3.12,4,0.632,0.877,4,-6.905,major(1),0.0606,0.154,0.0,0.328,0.749,138.391,56,Alternative Rock
This Is a Low - 2012 Remaster,Blur,1994,5.28,4,0.271,0.5,9,-8.661,major(1),0.0325,0.211,0.00156,0.111,0.32,170.06,39,Alternative Rock
Country House,Blur,1995,3.96,4,0.341,0.895,9,-6.66,major(1),0.076,0.147,0.0,0.0741,0.677,174.987,51,Alternative Rock
Beetlebum,Blur,1997,5.09,4,0.487,0.648,0,-5.14,major(1),0.0278,0.0351,0.000201,0.266,0.704,89.573,46,Alternative Rock
Song 2,Blur,1997,2.03,4,0.658,0.709,8,-6.736,major(1),0.0904,0.00188,0.00447,0.0657,0.855,129.701,67,Alternative Rock
Coffee & TV,Blur,1999,5.98,4,0.743,0.742,2,-10.117,major(1),0.0367,0.051,0.234,0.0987,0.706,121.604,62,Alternative Rock
Tender,Blur,1999,7.7,4,0.587,0.566,9,-9.932,major(1),0.0276,0.469,0.0,0.0644,0.528,76.055,58,Alternative Rock
Frank Sinatra,CAKE,1996,4.02,4,0.675,0.511,7,-9.208,major(1),0.0415,0.175,0.0261,0.183,0.569,114.201,51,Alternative Rock
I Will Survive,CAKE,1996,5.17,4,0.501,0.689,4,-7.952,minor(0),0.0318,0.306,0.000169,0.133,0.873,95.758,61,Alternative Rock
Jolene,CAKE,1996,5.32,4,0.498,0.576,8,-9.853,minor(0),0.0411,0.305,1.73e-05,0.544,0.847,94.232,40,Alternative Rock
Short Skirt / Long Jacket,CAKE,1996,3.4,4,0.771,0.809,2,-10.029,major(1),0.0461,0.003,0.0223,0.0252,0.886,120.038,65,Alternative Rock
Stickshifts and Safetybelts,CAKE,1996,2.14,4,0.659,0.682,1,-9.668,minor(0),0.137,0.416,0.0,0.314,0.913,141.556,44,Alternative Rock
The Distance,CAKE,1996,2.99,4,0.457,0.752,11,-8.121,minor(0),0.09,0.00959,0.00136,0.0573,0.897,183.578,68,Alternative Rock
Never There,CAKE,1998,2.74,4,0.761,0.735,9,-8.171,minor(0),0.043,0.0426,0.0838,0.0917,0.592,125.815,61,Alternative Rock
Comfort Eagle,CAKE,2001,3.67,4,0.735,0.692,11,-9.671,major(1),0.0582,0.0932,0.0,0.217,0.894,120.99,53,Alternative Rock
Sheep Go To Heaven,CAKE,2001,3.8,4,0.639,0.679,4,-8.867,minor(0),0.0401,0.0182,1.08e-05,0.117,0.784,102.592,48,Alternative Rock
Wheels,CAKE,2001,3.3,4,0.696,0.476,4,-7.955,minor(0),0.0373,0.128,0.0,0.121,0.963,161.311,45,Alternative Rock
Mr. Jones,Counting Crows,1993,4.54,4,0.578,0.817,0,-6.541,major(1),0.0363,0.183,2.85e-06,0.285,0.734,141.621,78,Alternative Rock
Round Here,Counting Crows,1993,5.52,4,0.313,0.477,7,-9.37,major(1),0.0342,0.143,7.31e-05,0.0814,0.186,94.192,60,Alternative Rock
A Long December,Counting Crows,1996,4.92,4,0.388,0.579,5,-6.983,major(1),0.0286,0.472,0.00055,0.219,0.381,70.662,58,Alternative Rock
Big Yellow Taxi,Counting Crows,2002,3.76,4,0.678,0.866,1,-4.341,major(1),0.048,0.00295,0.0,0.16,0.842,88.041,64,Alternative Rock
Superman's Song,Crash Test Dummies,1991,4.53,4,0.406,0.124,10,-19.825,major(1),0.0342,0.613,1.08e-06,0.108,0.316,168.4,42,Alternative Rock
Androgynous,Crash Test Dummies,1992,2.61,4,0.5,0.209,10,-16.07,major(1),0.0468,0.424,0.0,0.101,0.67,115.884,22,Alternative Rock
Keep A Lid On Things,Crash Test Dummies,1992,2.76,4,0.568,0.726,9,-9.01,major(1),0.185,0.0614,0.000174,0.151,0.744,166.409,29,Alternative Rock
He Liked To Feel It,Crash Test Dummies,1993,3.92,4,0.758,0.575,11,-7.354,minor(0),0.0316,0.08,0.085,0.0864,0.698,112.992,20,Alternative Rock
In The Days Of The Caveman,Crash Test Dummies,1993,3.67,4,0.655,0.85,11,-7.695,major(1),0.0317,0.079,0.000864,0.329,0.642,122.95,37,Alternative Rock
Mmm Mmm Mmm Mmm,Crash Test Dummies,1993,3.92,4,0.58,0.575,3,-7.72,major(1),0.0231,0.25,1.83e-05,0.0813,0.37,92.934,64,Alternative Rock
Swimming In Your Ocean,Crash Test Dummies,1996,3.82,4,0.613,0.795,0,-7.064,major(1),0.028,0.0986,0.0683,0.0809,0.643,93.873,37,Alternative Rock
The Ballad Of Peter Pumpkinhead (feat. Ellen Reid),Crash Test Dummies,1996,3.74,4,0.498,0.934,2,-5.323,major(1),0.103,0.0314,3.17e-05,0.226,0.531,128.017,33,Alternative Rock
The Unforgiven Ones,Crash Test Dummies,1996,2.9,4,0.457,0.482,9,-8.495,minor(0),0.0287,0.931,0.015,0.117,0.327,114.172,25,Alternative Rock
Crash into Me,Dave Matthews Band,1996,5.27,4,0.541,0.677,4,-10.764,major(1),0.0373,0.122,0.0191,0.0938,0.555,101.1,65,Alternative Rock
The Space Between,Dave Matthews Band,2001,4.03,4,0.406,0.73,9,-6.278,major(1),0.0315,0.0471,0.0,0.229,0.207,170.032,56,Alternative Rock
California Uber Alles,Dead Kennedys,1980,3.45,3,0.317,0.885,8,-4.768,major(1),0.144,0.176,0.000249,0.221,0.704,111.366,54,Alternative Rock
Holiday in Cambodia,Dead Kennedys,1980,3.75,4,0.133,0.927,7,-5.371,major(1),0.0741,0.00344,0.00044,0.0915,0.5,197.708,53,Alternative Rock
Kill the Poor,Dead Kennedys,1980,3.12,4,0.27,0.973,2,-3.219,major(1),0.0725,0.212,0.00204,0.346,0.443,105.292,40,Alternative Rock
Police Truck,Dead Kennedys,1980,2.42,4,0.207,0.967,4,-5.381,major(1),0.0982,0.0627,6.32e-05,0.504,0.598,202.423,53,Alternative Rock
Nazi Punks Fuck Off,Dead Kennedys,1981,1.06,3,0.397,0.923,10,-4.029,minor(0),0.201,0.00132,0.0,0.261,0.676,112.666,49,Alternative Rock
Too Drunk to Fuck,Dead Kennedys,1981,2.68,4,0.441,0.966,4,-4.876,minor(0),0.0503,0.000548,0.000829,0.415,0.586,103.327,48,Alternative Rock
Bleed for Me,Dead Kennedys,1985,3.42,4,0.289,0.962,9,-5.647,major(1),0.129,0.000194,7.77e-05,0.0946,0.118,102.594,30,Alternative Rock
Chemical Warfare,Dead Kennedys,1985,2.98,4,0.302,0.972,2,-3.041,major(1),0.179,0.674,0.0227,0.288,0.52,119.561,31,Alternative Rock
MTV-Get Off the Air,Dead Kennedys,1985,3.62,4,0.35,0.839,6,-6.186,major(1),0.216,0.0414,0.0,0.0868,0.655,145.385,34,Alternative Rock
Be Quiet and Drive (Far Away),Deftones,1997,5.0,4,0.206,0.965,1,-5.116,major(1),0.079,9.91e-06,0.827,0.367,0.168,92.615,76,Alternative Rock
Engine No. 9,Deftones,1997,3.41,4,0.358,0.981,2,-5.13,major(1),0.178,9.3e-05,0.000193,0.386,0.382,93.744,64,Alternative Rock
My Own Summer (Shove It),Deftones,1997,3.58,4,0.443,0.781,1,-4.277,major(1),0.0377,1.33e-05,0.205,0.166,0.372,71.841,77,Alternative Rock
Change (In the House of Flies),Deftones,2000,4.99,4,0.269,0.853,7,-4.647,minor(0),0.0854,0.000249,0.000246,0.118,0.179,141.581,78,Alternative Rock
Digital Bath,Deftones,2000,4.26,4,0.338,0.859,4,-4.938,minor(0),0.0824,0.00122,0.211,0.0936,0.504,92.966,68,Alternative Rock
Passenger,Deftones,2000,6.14,4,0.345,0.797,0,-6.152,major(1),0.0551,0.00188,0.0668,0.145,0.223,117.987,66,Alternative Rock
Back to School (Mini Maggit),Deftones,2003,3.96,4,0.3,0.986,8,-3.022,major(1),0.107,0.000386,0.000136,0.0924,0.256,85.117,61,Alternative Rock
Diamond Eyes,Deftones,2010,3.14,3,0.331,0.845,8,-4.876,major(1),0.0551,0.000109,0.000212,0.0758,0.468,153.484,54,Alternative Rock
Swerve City,Deftones,2012,2.75,4,0.457,0.964,10,-2.963,major(1),0.0656,0.0001,0.00811,0.67,0.372,111.972,62,Alternative Rock
Just Can't Get Enough,Depeche Mode,1981,3.68,4,0.766,0.772,0,-9.362,major(1),0.0353,0.403,0.0584,0.183,0.919,128.168,76,Alternative Rock
Master and Servant,Depeche Mode,1984,4.21,4,0.62,0.916,10,-8.306,minor(0),0.0515,0.0151,0.00228,0.0633,0.799,127.778,48,Alternative Rock
People Are People,Depeche Mode,1984,3.87,4,0.681,0.829,9,-7.305,minor(0),0.0626,0.0795,2.09e-06,0.327,0.814,119.975,61,Alternative Rock
Never Let Me Down Again,Depeche Mode,1987,4.34,4,0.577,0.933,2,-4.173,minor(0),0.0312,0.281,0.0346,0.124,0.767,106.112,59,Alternative Rock
Strangelove,Depeche Mode,1987,3.76,4,0.566,0.961,4,-3.46,minor(0),0.0354,0.044,0.00106,0.352,0.866,118.988,63,Alternative Rock
Personal Jesus,Depeche Mode,1989,4.91,4,0.682,0.742,11,-7.595,major(1),0.0492,0.135,0.209,0.0979,0.356,130.033,63,Alternative Rock
Enjoy the Silence,Depeche Mode,1990,4.25,4,0.663,0.838,0,-5.744,minor(0),0.0286,0.2,0.000177,0.0782,0.752,112.788,73,Alternative Rock
Policy of Truth,Depeche Mode,1990,4.9,4,0.686,0.644,8,-7.286,major(1),0.0276,0.0121,0.203,0.126,0.372,114.203,65,Alternative Rock
I Feel You,Depeche Mode,1993,4.59,3,0.44,0.905,2,-8.152,major(1),0.0888,0.02,0.0205,0.45,0.156,122.943,54,Alternative Rock
Walking in My Shoes,Depeche Mode,1993,5.44,4,0.538,0.711,2,-9.748,minor(0),0.0287,0.111,5.53e-06,0.237,0.502,93.08,57,Alternative Rock
Come Back Jonee,DEVO,1978,3.82,4,0.355,0.874,7,-7.734,major(1),0.217,0.0315,0.161,0.253,0.77,176.79,27,Alternative Rock
Jocko Homo,DEVO,1978,3.62,4,0.567,0.556,7,-12.952,major(1),0.108,0.557,0.000441,0.118,0.808,123.899,33,Alternative Rock
Smart Patrol / Mr. DNA,DEVO,1978,6.11,4,0.495,0.496,7,-14.984,major(1),0.148,0.00436,0.0839,0.125,0.292,137.286,26,Alternative Rock
Uncontrollable Urge,DEVO,1978,3.19,3,0.571,0.858,2,-7.066,major(1),0.0326,0.0551,0.665,0.0943,0.716,92.523,52,Alternative Rock
Freedom of Choice,DEVO,1980,3.48,4,0.835,0.871,0,-13.353,major(1),0.0359,0.457,0.00852,0.0557,0.963,140.386,39,Alternative Rock
Girl U Want,DEVO,1980,2.96,4,0.73,0.398,4,-12.824,major(1),0.0642,0.343,1.82e-05,0.0491,0.799,172.651,35,Alternative Rock
Whip It,DEVO,1980,2.69,4,0.78,0.869,9,-7.255,major(1),0.0517,0.0744,0.004,0.0621,0.957,157.902,64,Alternative Rock
Working in the Coal Mine,DEVO,1981,2.82,4,0.794,0.672,5,-7.575,major(1),0.119,0.562,0.00265,0.0879,0.78,158.937,30,Alternative Rock
Peek-A-Boo,DEVO,1982,3.01,4,0.772,0.77,0,-11.888,major(1),0.0691,0.228,0.703,0.0923,0.714,145.024,32,Alternative Rock
Through Being Cool,DEVO,1982,3.24,4,0.643,0.448,11,-14.897,minor(0),0.06,0.00825,0.00705,0.0913,0.847,156.528,29,Alternative Rock
The Wagon,Dinosaur Jr.,1991,4.92,4,0.251,0.976,7,-10.412,major(1),0.084,0.000291,0.000563,0.603,0.0892,172.294,43,Alternative Rock
Feel the Pain,Dinosaur Jr.,1994,4.33,4,0.34,0.804,0,-8.355,major(1),0.0516,0.00331,0.0191,0.0727,0.854,131.5,55,Alternative Rock
Down with the Sickness,Disturbed,2000,4.65,4,0.695,0.876,3,-4.262,minor(0),0.0553,0.000996,6.89e-06,0.106,0.941,89.954,75,Alternative Rock
Stricken,Disturbed,2005,4.09,4,0.402,0.969,8,-2.825,major(1),0.181,9.14e-05,0.0325,0.225,0.262,173.847,71,Alternative Rock
Decadence,Disturbed,2008,3.41,4,0.528,0.968,1,-3.457,major(1),0.145,5.67e-05,0.0916,0.0668,0.305,91.934,65,Alternative Rock
Rescue,Echo & the Bunnymen,1980,4.53,4,0.462,0.682,4,-10.902,minor(0),0.0567,0.0931,1.82e-06,0.894,0.618,129.8,3,Alternative Rock
The Cutter,Echo & the Bunnymen,1983,3.88,4,0.471,0.955,7,-5.219,major(1),0.121,0.00485,1.44e-06,0.162,0.35,139.266,49,Alternative Rock
Over the Wall,Echo & the Bunnymen,1984,6.11,4,0.498,0.875,0,-9.88,major(1),0.0334,0.000264,0.0877,0.0775,0.63,133.089,19,Alternative Rock
Seven Seas,Echo & the Bunnymen,1984,3.32,4,0.556,0.829,0,-5.123,major(1),0.0373,0.105,7.22e-05,0.29,0.793,134.382,37,Alternative Rock
The Killing Moon,Echo & the Bunnymen,1984,5.8,4,0.568,0.829,7,-7.066,major(1),0.0303,0.218,0.00418,0.0976,0.79,124.201,56,Alternative Rock
Bring on the Dancing Horses,Echo & the Bunnymen,1985,3.93,4,0.568,0.926,2,-5.274,major(1),0.0405,0.0064,0.00486,0.315,0.755,118.448,54,Alternative Rock
Lips Like Sugar,Echo & the Bunnymen,1987,4.86,4,0.552,0.934,4,-4.039,major(1),0.0299,0.00448,0.0212,0.258,0.863,130.001,53,Alternative Rock
Never Stop,Echo & the Bunnymen,1990,4.76,4,0.667,0.867,4,-7.284,minor(0),0.0352,0.438,0.01,0.134,0.916,137.185,33,Alternative Rock
Nothing Lasts Forever,Echo & the Bunnymen,1997,3.92,4,0.432,0.654,0,-5.345,major(1),0.0273,0.028,1.33e-05,0.176,0.399,83.85,44,Alternative Rock
Alison,Elvis Costello,1977,3.41,4,0.557,0.32,1,-10.792,minor(0),0.0438,0.739,3.99e-05,0.112,0.377,176.647,52,Alternative Rock
Watching The Detectives,Elvis Costello,1977,3.77,4,0.777,0.371,9,-12.208,minor(0),0.0602,0.015,1.57e-05,0.158,0.824,133.598,36,Alternative Rock
(I Don't Want To Go To) Chelsea - 2021 Remaster,Elvis Costello & The Attractions,1978,3.17,4,0.515,0.832,11,-5.643,minor(0),0.0398,0.0664,0.000486,0.055,0.952,166.728,43,Alternative Rock
"(What's So Funny 'Bout) Peace,Love And Understanding",Elvis Costello & The Attractions,1978,3.53,4,0.381,0.918,7,-9.451,major(1),0.0803,0.000466,0.0511,0.321,0.368,142.34,40,Alternative Rock
Pump It Up - 2021 Remaster,Elvis Costello & The Attractions,1978,3.28,4,0.645,0.809,11,-6.12,major(1),0.0385,0.00921,0.00108,0.106,0.966,138.978,57,Alternative Rock
"Radio,Radio - 2021 Remaster",Elvis Costello & The Attractions,1978,3.1,4,0.596,0.872,4,-4.925,major(1),0.0796,0.135,3.23e-06,0.278,0.899,146.734,44,Alternative Rock
Accidents Will Happen,Elvis Costello & The Attractions,1979,3.03,4,0.608,0.597,0,-11.115,major(1),0.0276,0.0441,0.00342,0.285,0.736,120.077,37,Alternative Rock
Oliver's Army,Elvis Costello & The Attractions,1979,3.01,4,0.527,0.725,4,-9.405,major(1),0.0287,0.336,0.0,0.221,0.94,143.162,49,Alternative Rock
Everyday I Write The Book,Elvis Costello & The Attractions,1983,3.91,4,0.651,0.755,1,-9.102,minor(0),0.0337,0.315,0.000174,0.235,0.716,102.229,48,Alternative Rock
Shipbuilding,Elvis Costello & The Attractions,1983,4.88,3,0.356,0.296,7,-13.676,major(1),0.0322,0.731,1.89e-05,0.15,0.166,142.869,38,Alternative Rock
Santa Monica,Everclear,1997,3.19,4,0.491,0.942,7,-5.333,major(1),0.109,0.156,0.0,0.367,0.398,100.441,68,Alternative Rock
Wonderful,Everclear,1997,4.68,4,0.514,0.817,7,-6.489,major(1),0.05,0.0118,8.25e-06,0.346,0.734,186.765,54,Alternative Rock
Dog Days Are Over,Florence + The Machine,2008,4.2,4,0.492,0.81,7,-5.315,major(1),0.0847,0.0416,0.00379,0.117,0.245,149.954,75,Alternative Rock
Kiss With A Fist,Florence + The Machine,2008,2.06,4,0.367,0.801,2,-5.396,major(1),0.137,0.0024,0.000273,0.0603,0.624,107.014,55,Alternative Rock
Cosmic Love,Florence + The Machine,2009,4.25,4,0.524,0.803,9,-5.56,minor(0),0.0366,0.145,0.000191,0.115,0.0827,140.003,61,Alternative Rock
Rabbit Heart (Raise It Up),Florence + The Machine,2009,3.87,4,0.607,0.853,9,-3.524,minor(0),0.0443,0.0553,3e-05,0.301,0.389,116.977,48,Alternative Rock
Shake It Out,Florence + The Machine,2011,4.63,4,0.528,0.804,10,-4.168,major(1),0.0358,0.0104,0.0,0.105,0.222,107.48,63,Alternative Rock
What The Water Gave Me,Florence + The Machine,2011,5.56,4,0.492,0.565,0,-6.445,minor(0),0.0319,0.00933,0.000224,0.114,0.183,124.095,45,Alternative Rock
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,2012,3.64,4,0.578,0.946,11,-3.85,minor(0),0.0482,0.00225,0.00412,0.0966,0.588,126.092,57,Alternative Rock
Ship To Wreck,Florence + The Machine,2015,3.91,4,0.564,0.923,9,-3.843,minor(0),0.0325,0.00147,0.0,0.277,0.587,141.991,56,Alternative Rock
Hunger,Florence + The Machine,2018,3.58,4,0.729,0.675,2,-5.62,minor(0),0.0415,0.53,0.0,0.0985,0.332,116.016,59,Alternative Rock
Big Me,Foo Fighters,1995,2.21,4,0.579,0.708,0,-10.419,major(1),0.0374,0.442,0.0,0.11,0.846,130.97,64,Alternative Rock
Everlong,Foo Fighters,1997,4.18,4,0.413,0.881,11,-5.541,minor(0),0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,83,Alternative Rock
Monkey Wrench,Foo Fighters,1997,3.86,4,0.401,0.953,4,-4.276,major(1),0.0752,1.83e-05,2.56e-05,0.149,0.555,174.217,69,Alternative Rock
